SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Breast cancer stage IV,Breast cancer stage IV,C0278488,1.0000000000000016
Breast conserving surgery,breast prosthesis removal,C0191909,0.6509611386782531
Breast cyst,Breast cyst,C0006144,0.9999999999999998
Breast discolouration,lip discolouration,C0854373,0.8186463623284809
Breast discomfort,Breast discomfort,C0877338,1.0000000000000007
Breast disorder,Breast disorder,C0006145,1.0
Breast disorder female,Breast disorder female,C0677658,1.0000000000000002
Breast disorder male,Breast neoplasm NOS male,C0242788,0.8171008489386328
Breast dysplasia,Breast malformation,C0266008,0.7688040424758481
Breast engorgement,Breast engorgement,C0085688,0.9999999999999996
Breast enlargement,Breast enlargement,C2225524,0.9999999999999994
Breast feeding,Breast feeding,C0006147,1.0000000000000004
Breast haemorrhage,breast haemorrhage,C0221707,1.0000000000000009
Breast hyperplasia,Hypertrophy of breast,C0020565,0.8620991771413513
Breast injury,lip injury,C2235773,0.6418937578951271
Breast mass,Breast mass,C0024103,0.9999999999999992
Breast necrosis,breast necrosis,C0549396,1.0000000000000007
Breast neoplasm,Breast neoplasm,C1458155,1.0000000000000007
Breast pain,Breast pain,C0024902,1.0000000000000002
Breast prosthesis user,joint prosthesis user,C0919806,0.6447028273111004
Breast swelling,Breast swelling,C0006152,1.0000000000000002
Breast tenderness,Breast tenderness,C0262397,0.9999999999999998
Breath alcohol test positive,blood ethanol increased,C0855901,0.6325335687170861
Breath holding,Breath holding,C0235744,1.0000000000000004
Breath odour,Breath odour,C0018520,0.9999999999999984
Breath sounds,Breath sounds abnormal,C0231856,0.7468541446739783
Breath sounds abnormal,Breath sounds abnormal,C0231856,1.0
Breath sounds absent,Respiratory sounds decreased,C0238844,0.7789745491475197
Breathing-related sleep disorder,Sleep apnoea syndrome,C0037315,0.8414671069166203
Breech presentation,breech presentation,C0006157,0.9999999999999998
Brief psychotic disorder with marked stressors,Psychotic depression,C0270458,0.6094525388810172
Bronchial carcinoma,Carcinoma of lung,C0684249,0.835483153626851
Bronchial disorder,Bronchial disorder,C0006261,1.0000000000000009
Bronchial haemorrhage,Bronchial haemorrhage,C1321133,0.9999999999999992
Bronchial hyperreactivity,Bronchial hyperreactivity,C0085129,0.9999999999999999
Bronchial injury,Traumatic lung injury,C0273115,0.7555545331489384
Bronchial obstruction,Bronchial obstruction,C0221725,0.9999999999999989
Bronchial secretion retention,bronchial secretion retention,C1868710,1.0000000000000007
Bronchial wall thickening,Pleural thickening,C0264545,0.7247746854683632
Bronchiectasis,Bronchiectasis,C0006267,1.0
Bronchiolitis,Bronchiolitis,C0006271,1.0000000000000002
Bronchitis,Bronchitis,C0006277,1.000000000000001
Bronchitis chronic,bronchitis chronic,C0008677,1.0000000000000002
Bronchitis pneumococcal,Bronchitis bacterial,C0264344,0.8016807609481418
Bronchoalveolar lavage abnormal,Pulmonary function test abnormal,C0476405,0.6572864428132821
Bronchogenic cyst,lung cyst,C0546483,0.7899766215052335
Bronchopleural fistula,bronchial fistula,C0006262,0.8170856146297903
Bronchopneumonia,Bronchopneumonia,C0006285,1.0
Bronchopneumopathy,Bronchopneumopathy,C1096448,1.0000000000000013
Bronchopulmonary aspergillosis,Bronchopulmonary aspergillosis,C2350530,1.000000000000002
Bronchopulmonary aspergillosis allergic,bronchopulmonary aspergillosis allergic,C0004031,1.0
Bronchopulmonary disease,Lung disorder,C0024115,0.7883324038045386
Bronchospasm,Bronchospasm,C0006266,1.0000000000000002
Brown-Sequard syndrome,Horner's syndrome,C0019937,0.6659950233051943
Brucellosis,tularaemia,C0041351,0.682570950980517
Brugada syndrome,Brugada syndrome,C1142166,1.0000000000000002
Bruxism,Bruxism,C0006325,1.000000000000001
Budd-Chiari syndrome,Budd-Chiari syndrome,C0856761,1.0000000000000007
Bulimia nervosa,Bulimia nervosa,C2267227,1.0000000000000002
Bundle branch block,Bundle branch block,C0006384,0.9999999999999994
Bundle branch block bilateral,Bundle branch block,C0006384,0.8532273971710923
Bundle branch block left,Bundle branch block left,C0023211,1.000000000000001
Bundle branch block right,Bundle branch block right,C0085615,1.0000000000000004
Bunion operation,metatarsal excision,C0188552,0.6662834010091391
Burkholderia cepacia complex infection,burkholderia pseudomallei infection,C0025229,0.7846935374999139
Burkholderia test positive,pseudomonas test positive,C2748111,0.8047707300494747
Burn oesophageal,burn oesophageal,C0162286,0.9999999999999998
Burn oral cavity,Burning mouth,C0877717,0.7917808280127132
Burning feet syndrome,Cold feet,C0424741,0.7375974858404689
Burning mouth syndrome,Burning mouth syndrome,C0006430,0.9999999999999999
Burning sensation,Burning sensation,C0085624,0.9999999999999998
Burning sensation mucosal,Burning mouth,C0877717,0.7508986460563072
Burnout syndrome,Exhaustion,C0392674,0.688042523114376
Burns second degree,Burns second degree,C0332687,1.0000000000000009
Bursa disorder,Bursitis,C0006444,0.80595865071201
Bursa injury,Bursitis,C0006444,0.7150304767917869
Bursitis,Bursitis,C0006444,1.0000000000000004
Butterfly rash,Rash vesicular,C0221203,0.6998268350136525
C-reactive protein abnormal,C-reactive protein increased,C0742906,0.7817286613113316
C-reactive protein decreased,protein c decreased,C0852955,0.7523478770742544
C-reactive protein increased,C-reactive protein increased,C0742906,1.0000000000000002
C3 glomerulopathy,Glomerulonephropathy,C0268731,0.6801176269470111
CD4 lymphocyte percentage decreased,CD4 lymphocytes decreased,C0853142,0.9452089306846166
CD4 lymphocytes abnormal,CD4 lymphocytes decreased,C0853142,0.7959577159720999
CD4 lymphocytes decreased,CD4 lymphocytes decreased,C0853142,1.0000000000000009
CD4 lymphocytes increased,CD4 lymphocytes decreased,C0853142,0.7466155641098711
CD4/CD8 ratio decreased,CD4 lymphocytes decreased,C0853142,0.818900906339624
CNS ventriculitis,Meningoencephalitis,C0025309,0.595723570242032
COVID-19,Influenza,C0021400,0.5718516754902603
COVID-19 immunisation,Vertical infection transmission,C0242648,0.4923891069158639
COVID-19 pneumonia,pneumonia adenoviral,C0276156,0.6669356225274345
CSF HIV escape syndrome,AIDS dementia complex,C0001849,0.6713894805657371
CSF protein increased,Hyperproteinaemia,C0267988,0.6644405163572167
CSF test abnormal,Neurological examination abnormal,C1112537,0.5887332260071727
CSF virus identified,viral mutation identified,C1328390,0.4621457616954143
CSF volume increased,Cerebrospinal fluid leakage,C0023182,0.702274340294599
CSF white blood cell count increased,White blood cell count increased,C0750426,0.7080269039641137
CYP2C19 polymorphism,Thrombophilia,C0398623,0.426287676065967
CYP2D6 gene status assay,Drug screen positive,C0743295,0.4154621416050821
CYP2D6 polymorphism,Dyspnoea paroxysmal nocturnal,C1956415,0.4300991415025174
Cachexia,Cachexia,C0006625,0.9999999999999997
Caesarean section,caesarean section,C0007876,1.0000000000000007
Calcinosis,Calcinosis,C0006663,1.0000000000000004
Calciphylaxis,Dystrophic calcification,C0333582,0.7830583671804412
Calcium deficiency,calcium deficiency,C0392519,0.9999999999999998
Calcium ionised decreased,Calcium low,C0860967,0.9072103382689627
Calcium metabolism disorder,Calcium metabolism disorder,C0006705,1.0000000000000002
Calculus bladder,Calculus bladder,C0005683,1.0000000000000004
Calculus ureteric,Calculus ureteric,C1456865,1.0000000000000004
Calculus urinary,Calculus urinary,C0042018,1.0000000000000009
Camptocormia,Cushingoid,C0332601,0.610345148631535
Campylobacter gastroenteritis,campylobacter gastroenteritis,C0275982,1.0000000000000007
Campylobacter infection,campylobacter infection,C0006818,0.9999999999999993
Cancer fatigue,Fatigue,C0015672,0.7579176002459893
Cancer in remission,leukaemia in remission,C0686584,0.7171986225643897
Cancer pain,Cancer pain,C0596240,0.9999999999999993
Cancer surgery,Surgery,C0543467,0.7683852881268274
Candida endophthalmitis,Endophthalmitis,C0014236,0.7556743927835572
Candida infection,Candida infection,C0006840,1.0000000000000009
Candida osteomyelitis,osteomyelitis fungal,C1696847,0.8574722499929973
Candida pneumonia,pneumonia cryptococcal,C0276688,0.7889930721620715
Candida sepsis,candida sepsis,C0949091,1.0
Candida test positive,Fungal test positive,C1167761,0.8241681787665236
Cannabinoid hyperemesis syndrome,Horner's syndrome,C0019937,0.5750920935104338
Capillary disorder,capillary disorder,C0155765,1.0000000000000002
Capillary fragility,Capillary fragility,C0006905,1.0000000000000013
Capillary fragility increased,Capillary fragility increased,C0151541,0.9999999999999993
Capillary fragility test,Capillary fragility,C0006905,0.8944758438027904
Capillary leak syndrome,Capillary leak syndrome,C0343084,0.9999999999999997
Carbohydrate antigen 125 increased,carbohydrate antigen 125 increased,C0948657,1.0000000000000018
Carbohydrate antigen 15-3 increased,carbohydrate antigen 15-3 increased,C0948055,0.9999999999999992
Carbohydrate antigen 19-9 increased,carbohydrate antigen 27.29 increased,C0948662,0.857823630760932
Carbon dioxide abnormal,Carbon dioxide increased,C0860713,0.7835301418437244
Carbon dioxide decreased,Carbon dioxide decreased,C0860711,0.9999999999999997
Carbon dioxide increased,Carbon dioxide increased,C0860713,1.0000000000000007
Carbon monoxide diffusing capacity decreased,carbon monoxide diffusing capacity decreased,C1697788,0.9999999999999998
Carbon monoxide poisoning,blood carbon monoxide increased,C0853742,0.6937303859524283
Carboxyhaemoglobin increased,Hyperhemoglobinemia,C0235847,0.8323205738609872
Carcinoembryonic antigen increased,carcinoembryonic antigen increased,C0549371,0.9999999999999983
Carcinogenicity,Carcinogenicity,C0858970,1.0000000000000002
Carcinoid tumour,Carcinoid tumour,C0007095,1.000000000000001
Carcinoid tumour of the liver,carcinoid tumour of the stomach,C0349529,0.68454838623617
Carcinoma in situ,breast cancer in situ,C0154084,0.7944383557196832
Cardiac ablation,cardiac ablation,C0162563,0.9999999999999998
Cardiac amyloidosis,Cardiac amyloidosis,C0268407,1.0000000000000004
Cardiac aneurysm,Aneurysm,C0002940,0.7522047573740375
Cardiac arrest,Cardiac arrest,C0018790,0.9999999999999993
Cardiac arrest neonatal,neonatal respiratory arrest,C0235065,0.8686792835800369
Cardiac assistance device user,walking aid user,C0919792,0.618992216012729
Cardiac cirrhosis,cardiac cirrhosis,C0085699,1.0000000000000002
Cardiac contractility decreased,Ejection fraction decreased,C0743400,0.7576661516181751
Cardiac death,Cardiac death,C0376297,1.0000000000000002
Cardiac discomfort,Cardiac discomfort,C1096252,1.0000000000000007
Cardiac disorder,Cardiac disorder,C0018799,1.0000000000000002
Cardiac dysfunction,Ventricular dysfunction,C0242973,0.8387139503730392
Cardiac failure,Cardiac failure,C0018801,1.0000000000000009
Cardiac failure acute,Cardiac failure acute,C0264714,1.000000000000001
Cardiac failure chronic,cardiac failure chronic,C0264716,1.0000000000000016
Cardiac failure congestive,Cardiac failure congestive,C0018802,1.0000000000000007
Cardiac fibrillation,Cardiac fibrillation,C0232197,1.0
Cardiac flutter,Cardiac flutter,C0016385,0.9999999999999999
Cardiac function test abnormal,ejection fraction abnormal,C0855327,0.8250413014582284
Cardiac hypertrophy,Cardiac hypertrophy,C1383860,1.0000000000000004
Cardiac index increased,cardiac index increased,C0520869,0.9999999999999989
Cardiac infection,Carditis,C0869523,0.7336165201566569
Cardiac murmur,Cardiac murmur,C0018808,0.9999999999999999
Cardiac neoplasm unspecified,Cardiac disorder,C0018799,0.6963595278171498
Cardiac operation,cardiac operation,C0018821,1.0000000000000007
Cardiac output decreased,Cardiac output decreased,C0007166,0.9999999999999997
Cardiac pacemaker insertion,cardiac pacemaker insertion,C0189817,1.0000000000000013
Cardiac perforation,Myocardial rupture,C0018813,0.7853994704910493
Cardiac procedure complication,Procedural complication,C1141861,0.7501782162539168
Cardiac pseudoaneurysm,Vascular pseudoaneurysm,C1510412,0.7837120194422555
Cardiac septal defect,Cardiac septal defect,C0018816,0.9999999999999996
Cardiac septal hypertrophy,Hypertrophic cardiomyopathy,C0007194,0.7375825935893519
Cardiac steatosis,Hepatic steatosis,C2711227,0.8031100577490942
Cardiac stress test abnormal,haemodynamic test abnormal,C1112665,0.670764938213924
Cardiac tamponade,Cardiac tamponade,C0007177,1.0000000000000013
Cardiac valve disease,Cardiac valve disease,C0018824,1.0000000000000007
Cardiac valve sclerosis,Aortic valve sclerosis,C1455780,0.8365477212923585
Cardiac valve vegetation,heart valve calcification,C1142152,0.7856992764546372
Cardiac vein perforation,ventricle rupture,C0852946,0.5902482110165315
Cardiac ventricular thrombosis,Coronary artery thrombosis,C0010072,0.7849021815421834
Cardio-respiratory arrest,Cardio-respiratory arrest,C0600228,0.9999999999999997
Cardio-respiratory distress,Cardio-respiratory distress,C0877339,1.0000000000000002
Cardioactive drug level,Cardioactive drug level increased,C0861111,0.7063291361536982
Cardioactive drug level above therapeutic,Cardioactive drug level above therapeutic,C0855931,0.9999999999999999
Cardioactive drug level decreased,Drug level decreased,C0151598,0.6752389007745112
Cardioactive drug level increased,Cardioactive drug level increased,C0861111,0.9999999999999999
Cardiogenic shock,Cardiogenic shock,C0036980,1.0000000000000004
Cardiolipin antibody positive,Antineutrophil cytoplasmic antibody positive,C0238874,0.6275982201379605
Cardiomegaly,Cardiomegaly,C0018800,1.0
Cardiometabolic syndrome,Metabolic syndrome,C0524620,0.8718219833986658
Cardiomyopathy,Cardiomyopathy,C0878544,1.0000000000000004
Cardiomyopathy acute,Cardiomyopathy,C0878544,0.7815021057170451
Cardiopulmonary failure,Cardiopulmonary failure,C1444565,1.000000000000001
Cardiorenal syndrome,cardiorenal syndrome,C2242703,1.0000000000000004
Cardiospasm,Vasospasm,C0085616,0.7905431264548435
Cardiotoxicity,Cardiotoxicity,C0876994,0.9999999999999992
Cardiovascular disorder,Cardiovascular disorder,C0007222,0.9999999999999989
Cardiovascular insufficiency,Cardiovascular insufficiency,C1392046,1.0000000000000009
Cardiovascular symptom,Cardiovascular disorder,C0007222,0.7537918014318821
Cardioversion,cardioversion,C0013778,0.9999999999999999
Carditis,Carditis,C0869523,1.0000000000000009
Carnitine deficiency,ornithine transcarbamoylase deficiency,C0268542,0.642481929971776
Carotid aneurysm rupture,Carotid artery thrombosis,C0007274,0.733469058413067
Carotid arterial embolus,Carotid artery thrombosis,C0007274,0.7690598568284609
Carotid arteriosclerosis,carotid artery disease,C0007273,0.858705760942393
Carotid artery aneurysm,carotid artery disease,C0007273,0.6943563161243481
Carotid artery dissection,carotid artery disease,C0007273,0.7280439901413415
Carotid artery occlusion,Carotid artery occlusion,C0265101,1.0000000000000007
Carotid artery restenosis,coronary artery restenosis,C0948480,0.7767050230301143
Carotid artery stenosis,Carotid artery stenosis,C0007282,1.0000000000000009
Carotid artery thrombosis,Carotid artery thrombosis,C0007274,0.9999999999999991
Carotid bruit,Carotid bruit,C0007280,1.0000000000000007
Carotid sinus syndrome,Carotid sinus syndrome,C0221046,1.0000000000000004
Carpal tunnel decompression,carpal tunnel decompression,C0196576,1.0000000000000009
Carpal tunnel syndrome,Carpal tunnel syndrome,C0007286,1.0000000000000004
Cartilage atrophy,cartilage atrophy,C1389062,0.9999999999999992
Cartilage graft,chondroma,C0936248,0.6236470699478617
Castleman^s disease,Lymphoedema,C0024236,0.6256799312286081
Cat scratch disease,cat scratch disease,C0007361,1.0000000000000007
Cataplexy,Cataplexy,C0007384,0.9999999999999999
Cataract,Cataract,C0086543,1.0000000000000007
Cataract nuclear,Cataract,C0086543,0.8032061087622585
Cataract operation,Cataract,C0086543,0.723568283358198
Cataract subcapsular,Cataract subcapsular,C0235259,0.9999999999999992
Catarrh,Rhinitis,C0035455,0.6372595003035432
Catastrophic reaction,apparent life threatening event,C2712370,0.6663868565361984
Catatonia,Catatonia,C0007398,1.0000000000000004
Catheter management,catheter placement,C0883301,0.6844053732516489
Catheter site abscess,Catheter site cellulitis,C0948978,0.8193748169806553
Catheter site cellulitis,Catheter site cellulitis,C0948978,1.0000000000000004
Catheter site dermatitis,Catheter site erythema,C0948815,0.8378411835309532
Catheter site discharge,catheter site discharge,C0948979,1.0000000000000002
Catheter site eczema,catheter site pruritus,C0948819,0.8586192074701139
Catheter site erythema,Catheter site erythema,C0948815,1.0
Catheter site extravasation,Catheter site haemorrhage,C0920166,0.8129685128342041
Catheter site haematoma,catheter site haematoma,C0948816,1.0000000000000016
Catheter site haemorrhage,Catheter site haemorrhage,C0920166,0.9999999999999991
Catheter site infection,Catheter site infection,C1112210,1.0000000000000016
Catheter site inflammation,Catheter site inflammation,C0948817,0.9999999999999984
Catheter site pain,Catheter site pain,C0949103,0.9999999999999991
Catheter site related reaction,Catheter site related reaction,C0863070,1.0
Catheter site scab,infusion site scab,C1736135,0.786944360255915
Catheter site swelling,catheter site swelling,C2242597,1.0000000000000007
Catheter site thrombosis,Catheter thrombosis,C1868809,0.9264049969956621
Catheterisation cardiac,catheterisation cardiac normal,C0740320,0.6863715232557669
Catheterisation cardiac abnormal,catheterisation cardiac normal,C0740320,0.6588493557537748
Cauda equina syndrome,Cauda equina syndrome,C0392548,1.0000000000000013
Cautery to nose,Stinging of nose,C0859871,0.6198503986628934
Cavernous sinus thrombosis,cavernous sinus thrombosis,C0238454,1.0
Cell death,cell death,C1704653,0.9999999999999997
Cell marker increased,tumour marker increased,C0876999,0.777581627048906
Cellulitis,Cellulitis,C0007642,1.0000000000000004
Cellulitis gangrenous,Cellulitis gangrenous,C0854456,1.0000000000000007
Cellulitis orbital,cellulitis orbital,C0149507,1.0000000000000004
Cellulitis streptococcal,Streptococcal sepsis,C0152964,0.8322880714340635
Central hypothyroidism,Primary hypothyroidism,C0700502,0.8808252557319692
Central nervous system fungal infection,tuberculosis of central nervous system,C0275904,0.6872633880138013
Central nervous system haemorrhage,Central nervous system haemorrhage,C3267019,1.0000000000000009
Central nervous system infection,central nervous system inflammation,C0178264,0.8041715384787483
Central nervous system inflammation,central nervous system inflammation,C0178264,0.9999999999999999
Central nervous system injury,Brain injury,C0270611,0.8479937336313905
Central nervous system lesion,central nervous system lesion,C0742468,0.9999999999999996
Central nervous system leukaemia,central nervous system lymphoma,C0280803,0.7517307187876607
Central nervous system vasculitis,vasculitis cerebral,C0238051,0.8878347484020326
Central obesity,Central obesity,C0311277,1.000000000000001
Central venous catheter removal,central venous catheter removal,C1145640,1.0000000000000002
Central venous catheterisation,central venous catheterisation,C0007435,1.0000000000000007
Central venous pressure decreased,Pulse pressure decreased,C0240840,0.6529597391143626
Central venous pressure increased,Venous pressure increased,C0232115,0.8189868646659308
Cephalhaematoma,spontaneous haematoma,C1697453,0.5809880509631926
Cerebellar ataxia,Cerebellar ataxia,C0007758,0.9999999999999984
Cerebellar atrophy,Cerebellar atrophy,C0740279,1.0000000000000013
Cerebellar haematoma,cerebellar haemorrhage,C0149854,0.8583434954118668
Cerebellar haemorrhage,cerebellar haemorrhage,C0149854,1.0000000000000007
Cerebellar infarction,Cerebellar infarction,C0236073,0.9999999999999992
Cerebellar ischaemia,Cerebellar infarction,C0236073,0.8551635842584275
Cerebellar microhaemorrhage,cerebellar haemorrhage,C0149854,0.787001256357368
Cerebellar stroke,Cerebellar infarction,C0236073,0.9240844627402758
Cerebellar syndrome,Cerebellar syndrome,C0007760,1.0000000000000013
Cerebral amyloid angiopathy,cerebral amyloid angiopathy,C0085220,0.9999999999999998
Cerebral aneurysm perforation,Cerebral arterial aneurysm,C1290398,0.6552686259017336
Cerebral arteriosclerosis,Cerebral arteriosclerosis,C0877854,1.0000000000000016
Cerebral artery embolism,Cerebral artery embolism,C0007780,1.0000000000000007
Cerebral artery occlusion,Arterial occlusion,C0264995,0.7856594506376555
Cerebral artery stenosis,Cerebral artery stenosis,C1504438,0.9999999999999996
Cerebral artery thrombosis,cerebral artery thrombosis,C0795687,1.0000000000000002
Cerebral aspergillosis,cerebral aspergillosis,C0948691,1.000000000000001
Cerebral atrophy,Cerebral atrophy,C0235946,1.0000000000000018
Cerebral calcification,cerebral calcification,C0270685,0.9999999999999987
Cerebral candidiasis,Systemic candida,C0153252,0.7431266014024469
Cerebral congestion,Pulmonary congestion,C0242073,0.7306896458143067
Cerebral cyst,Cyst,C0010709,0.7306511268698416
Cerebral disorder,cerebral disorder,C0234387,0.9999999999999993
Cerebral fungal infection,Fungal infection,C0026946,0.7199878237008246
Cerebral haematoma,Cerebral haematoma,C0542007,0.9999999999999991
Cerebral haemorrhage,Cerebral haemorrhage,C2937358,1.0000000000000009
Cerebral haemosiderin deposition,cerebral calcification,C0270685,0.5877350985990595
Cerebral hyperperfusion syndrome,vascular encephalopathy,C1504463,0.695856733970905
Cerebral hypoperfusion,Hypoperfusion,C0442856,0.8887105982140967
Cerebral infarction,Cerebral infarction,C0007785,1.0000000000000022
Cerebral ischaemia,Cerebral ischaemia,C0917798,1.0000000000000013
Cerebral lobotomy,craniotomy,C0010280,0.6280201162776967
Cerebral mass effect,brain mass,C0742078,0.6775109121572128
Cerebral microhaemorrhage,Microhemorrhage,C0859253,0.8163304033003425
Cerebral nocardiosis,Nocardiosis,C0028242,0.8585128542898013
Cerebral palsy,Paraplegia,C0030486,0.6636859251434245
Cerebral reperfusion injury,Reperfusion injury,C0035126,0.9238448580717702
Cerebral salt-wasting syndrome,renal salt-wasting syndrome,C1262146,0.929382049570041
Cerebral thrombosis,Cerebral thrombosis,C0079102,1.0
Cerebral vasoconstriction,Cerebral vasoconstriction,C1167661,1.0000000000000004
Cerebral venous sinus thrombosis,Intracranial venous sinus thrombosis,C0338573,0.9432972764273155
Cerebral venous thrombosis,Cerebral venous thrombosis,C0151945,1.0000000000000018
Cerebral ventricle dilatation,cerebral ventricle dilatation,C0877064,1.0000000000000009
Cerebral ventricular rupture,ventricle rupture,C0852946,0.8220522572511303
Cerebrospinal fistula,Cerebrospinal fluid leakage,C0023182,0.755966805599273
Cerebrospinal fluid leakage,Cerebrospinal fluid leakage,C0023182,0.9999999999999989
Cerebrospinal fluid retention,Cerebrospinal fluid leakage,C0023182,0.7906085331198802
Cerebrovascular accident,Cerebrovascular accident,C0038454,1.0000000000000002
Cerebrovascular disorder,Cerebrovascular disorder,C0007820,1.0000000000000009
Cerebrovascular insufficiency,Cerebrovascular insufficiency,C0241832,0.9999999999999989
Cerumen impaction,Cerumen impaction,C0021092,1.0000000000000002
Cervical cord compression,Spinal cord compression,C0037926,0.8440995553236412
Cervical dilatation,oesophageal dilatation,C0192389,0.7584736562575011
Cervical dysplasia,Cervical dysplasia,C0007868,1.0000000000000007
Cervical radiculopathy,Radiculopathy,C0700594,0.74261206656781
Cervical spinal stenosis,cervical spinal stenosis,C0158280,0.9999999999999996
Cervical vertebral fracture,Cervical vertebral fracture,C0262414,1.0000000000000002
Cervicitis,Cervicitis,C0007860,1.0000000000000007
Cervicobrachial syndrome,Cervicobrachial syndrome,C0158281,0.9999999999999997
Cervicogenic headache,Occipital neuralgia,C0007863,0.7525139885471661
Cervix carcinoma,Cervix carcinoma,C0302592,1.0000000000000002
Change in seizure presentation,seizure cluster,C3203523,0.657107986468791
Change in sustained attention,Disturbance in attention,C0233414,0.6249584518562509
Change of bowel habit,Change of bowel habit,C0278008,0.9999999999999997
Chapped lips,Chapped lips,C0424489,1.0000000000000002
Cheilitis,Cheilitis,C0007971,0.9999999999999997
Chemical burn,Chemical burn,C0006435,1.0000000000000004
Chemical burn of skin,chemical burn of skin,C0562102,0.9999999999999992
Chemical poisoning,Chemical injury,C0441713,0.8602263781399645
Chemotherapeutic drug level above therapeutic,antibiotic level above therapeutic,C0855922,0.7359852129127904
Chemotherapeutic drug level below therapeutic,Drug level decreased,C0151598,0.7292677394768959
Chemotherapeutic drug level decreased,Drug level decreased,C0151598,0.8008332477035971
Chemotherapeutic drug level increased,Drug level increased,C0151599,0.8090031250849312
Chemotherapy,Toxicity to various agents,C3160741,0.6198190103916434
Chest X-ray abnormal,chest x-ray abnormal,C0436503,1.000000000000003
Chest discomfort,Chest discomfort,C0235710,1.0000000000000007
Chest expansion decreased,Atelectasis,C0004144,0.6634526021364949
Chest injury,Traumatic lung injury,C0273115,0.7461940618525847
Chest pain,Chest pain,C0008031,0.9999999999999997
Chest wall haematoma,abdominal wall haematoma,C1963746,0.7940903677474063
Chillblains,Chills,C0085593,0.8689141912677161
Chills,Chills,C0085593,1.0
Chlamydial infection,Chlamydial infection,C0008149,1.0000000000000004
Chloasma,Chloasma,C0025218,1.0000000000000004
Chloropsia,Chloropsia,C0235260,1.0
Choanal atresia,choanal atresia,C0008297,0.9999999999999996
Choking,Choking,C0008301,0.9999999999999999
Choking sensation,Choking sensation,C0546947,1.000000000000001
Cholangiocarcinoma,Cholangiocarcinoma,C0206698,1.0
Cholangitis,Cholangitis,C0008311,1.0000000000000004
Cholangitis acute,Cholangitis,C0008311,0.782127093154522
Cholangitis sclerosing,Cholangitis sclerosing,C0008313,1.0000000000000002
Cholecystectomy,Gallbladder cancer,C0153452,0.673422686951102
Cholecystitis,Cholecystitis,C0008325,1.0
Cholecystitis acute,Cholecystitis acute,C0149520,1.0000000000000002
Cholecystitis chronic,Cholecystitis chronic,C0085694,1.0000000000000016
Cholecystitis infective,Cholecystitis infective,C1262168,1.000000000000001
Cholelithiasis,Cholelithiasis,C0008350,1.0000000000000013
Cholestasis,Cholestasis,C0008370,0.9999999999999999
Cholestatic liver injury,Cholestatic liver injury,C2242582,1.0
Cholesterosis,Cholestatic liver disease,C0860204,0.8119536793827147
Cholinergic syndrome,Cholinergic syndrome,C0274702,1.0000000000000022
Choluria,Choluria,C0159076,0.9999999999999987
Chondrocalcinosis,Chondrocalcinosis,C0553730,0.9999999999999992
Chondrocalcinosis pyrophosphate,Chondrocalcinosis,C0553730,0.8236791418072105
Chondroma,chondroma,C0936248,1.0
Chorea,Chorea,C0008489,1.0000000000000013
Choreoathetosis,Choreoathetosis,C0085583,1.0000000000000007
Chorioretinal folds,Choroidal detachment,C0162279,0.6724346785699226
Chorioretinal scar,macular scar,C0423428,0.8110011860702521
Chorioretinitis,Chorioretinitis,C0008513,0.9999999999999999
Chorioretinopathy,Chorioretinopathy,C0339383,1.000000000000001
Choroidal detachment,Choroidal detachment,C0162279,1.0000000000000007
Choroidal effusion,Choroidal effusion,C0339434,0.9999999999999998
Choroidal haemorrhage,choroidal haemorrhage,C0008522,0.9999999999999997
Choroiditis,Choroiditis,C0008526,1.0000000000000002
Chromatopsia,Chromatopsia,C0474381,0.9999999999999996
Chromaturia,Chromaturia,C0541832,0.9999999999999999
Chronic allograft nephropathy,Chronic allograft nephropathy,C0403592,1.0000000000000009
Chronic cutaneous lupus erythematosus,Cutaneous lupus erythematosus,C0024137,0.9088603719065611
Chronic disease,Chronic liver disease,C0341439,0.7131879084956795
Chronic fatigue syndrome,Chronic fatigue syndrome,C0015674,0.9999999999999994
Chronic gastritis,Gastritis,C0017152,0.7792953001506774
Chronic gastrointestinal bleeding,Lower gastrointestinal haemorrhage,C0024050,0.6652555287116353
Chronic graft versus host disease,Chronic graft versus host disease,C0867389,0.9999999999999994
Chronic graft versus host disease in skin,graft versus host disease in skin,C1610605,0.9334702040708095
Chronic granulomatous disease,Granulomatosis with polyangiitis,C3495801,0.6822041448059873
Chronic hepatic failure,Chronic hepatic failure,C0400930,0.9999999999999998
Chronic hepatitis,Chronic hepatitis,C0019189,0.9999999999999996
Chronic hepatitis B,Chronic hepatitis B,C0524909,0.9999999999999997
Chronic hepatitis C,chronic hepatitis c,C0524910,1.0000000000000004
Chronic inflammatory demyelinating polyradiculoneuropathy,chronic inflammatory demyelinating polyradiculoneuropathy,C0393819,1.0000000000000002
Chronic kidney disease,Chronic kidney disease,C1561643,1.0
Chronic leukaemia,Chronic leukaemia,C1279296,1.0000000000000009
Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,Jessner's lymphocytic infiltration,C0580181,0.6576754017897104
Chronic lymphocytic leukaemia,Chronic lymphocytic leukaemia,C0023434,1.000000000000001
Chronic lymphocytic leukaemia recurrent,chronic lymphocytic leukaemia recurrent,C0854802,1.0
